chain,v_gene,0
IGH,IGHV1-69-2,1813
IGH,IGHV3-11,772
IGH,IGHV4-4,68
IGH,IGHV3-48,50
IGH,IGHV4-39,49
IGH,IGHV3-33,37
IGH,IGHV3-23,31
IGH,IGHV4-34,11
IGH,IGHV1-3,5
IGH,IGHV3-7,5
IGH,IGHV4-61,5
IGH,IGHV6-1,4
IGH,IGHV2-5,3
IGH,IGHV3-15,3
IGH,IGHV4-59,3
IGH,IGHV1-2,2
IGH,IGHV1-46,2
IGH,IGHV3-30,2
IGH,IGHV4-28,2
IGH,IGHV1-18,1
IGH,IGHV3-64,1
IGH,IGHV3-73,1
IGK,IGKV3-15,608
IGK,IGKV3-20,543
IGK,IGKV1-5,58
IGK,IGKV1D-39,40
IGK,IGKV3-11,39
IGK,IGKV1D-13,15
IGK,IGKV2-30,8
IGK,IGKV1-16,5
IGK,IGKV1-27,1
IGK,IGKV1-33,1
IGK,IGKV1-8,1
IGK,IGKV1-9,1
IGK,IGKV4-1,1
IGL,IGLV2-11,711
IGL,IGLV2-23,370
IGL,IGLV2-14,283
IGL,IGLV1-44,92
IGL,IGLV3-9,64
IGL,IGLV1-40,14
IGL,IGLV1-51,10
IGL,IGLV3-21,5
IGH,IGHD3-3,905
IGH,IGHD2OR15-2B,613
IGH,IGHD2-8,225
IGH,IGHD2-2,169
IGH,IGHD1-26,84
IGH,IGHD3-9,84
IGH,IGHD5-24,75
IGH,IGHD7-27,74
IGH,IGHD1-14,67
IGH,IGHD5OR15-5B,67
IGH,IGHD6-6,60
IGH,IGHD3-10,53
IGH,IGHD1OR15-1A,52
IGH,IGHD3-22,48
IGH,IGHD3OR15-3A,41
IGH,IGHD6-25,41
IGH,IGHD4OR15-4B,32
IGH,IGHD5-12,31
IGH,IGHD3-16,29
IGH,IGHD6-13,25
IGH,IGHD5-18,23
IGH,IGHD1-7,18
IGH,IGHD4-4,11
IGH,IGHD4-17,7
IGH,IGHD2-15,6
IGH,IGHD2-21,6
IGH,IGHD4-23,5
IGH,IGHD6-19,4
IGH,IGHD1-1,1
IGH,IGHD1-20,1
IGH,IGHJ6,1106
IGH,IGHJ2,664
IGH,IGHJ5,540
IGH,IGHJ4,484
IGH,IGHJ3,65
IGH,IGHJ1,3
IGK,IGKJ1,569
IGK,IGKJ4,384
IGK,IGKJ2,271
IGK,IGKJ3,56
IGK,IGKJ5,41
IGL,IGLJ2,1201
IGL,IGLJ3,300
IGL,IGLJ1,48
IGH,IGHG1,2568
IGH,IGHA1,231
IGH,IGHG2,59
IGH,IGHG3,8
IGH,IGHD,4
IGK,IGKC,1321
IGL,IGLC2,1381
IGL,IGLC3,117
IGL,IGLC1,51
